level,proficiency,able,strength,con,wis,dex,intelligence,cha,hd,hp,ac,initiative,healing_spells,buff_spells,attack_bonus,weapon_damage,winrate
1.0,0.0,0.0,7.0,1.0,-2.0,-6.0,-3.0,-2.0,1.0,6.0,2.0,-3.0,0.0,0.0,-1.0,0.0,0.729
0.0,0.0,0.0,-4.0,0.0,-4.0,7.0,-1.0,3.0,0.0,2.0,-2.0,3.0,0.0,0.0,1.0,0.0,0.481
0.0,0.0,0.0,-2.0,-4.0,-2.0,4.0,2.0,2.0,-2.0,-9.0,3.0,2.0,0.0,0.0,0.0,-4.0,0.288
0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,3.0,5.0,-1.0,-3.0,-3.0,1.0,0.0,0.0,1.0,0.0,0.393
0.0,0.0,0.0,4.0,-2.0,-4.0,-6.0,3.0,0.0,-1.0,-3.0,5.0,-3.0,0.0,0.0,-1.0,0.0,0.546
0.0,0.0,0.0,0.0,6.0,-5.0,2.0,-3.0,4.0,3.0,8.0,-1.0,1.0,0.0,0.0,1.0,-4.0,0.509
0.0,0.0,0.0,-2.0,0.0,-3.0,-3.0,-1.0,7.0,0.0,-4.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,0.15
0.0,0.0,0.0,-4.0,-3.0,2.0,3.0,0.0,-1.0,-1.0,2.0,3.0,2.0,0.0,0.0,-2.0,4.0,0.541
0.0,0.0,0.0,-6.0,-6.0,-6.0,5.0,5.0,0.0,-3.0,-5.0,1.0,3.0,0.0,0.0,1.0,-2.0,0.285
0.0,0.0,0.0,-2.0,-4.0,-5.0,-3.0,3.0,-4.0,-2.0,-4.0,-3.0,-1.0,0.0,0.0,-1.0,-4.0,0.143
-2.0,-1.0,0.0,0.0,-3.0,7.0,-1.0,7.0,2.0,-2.0,-13.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.164
